Date,Views
1/6/2021,7831
2/6/2021,7798
3/6/2021,7401
4/6/2021,7054
5/6/2021,7973
6/6/2021,9114
7/6/2021,10387
8/6/2021,8895
9/6/2021,9048
10/6/2021,8431
11/6/2021,8342
12/6/2021,7720
13/06/2021,7622
14/06/2021,10023
15/06/2021,9558
16/06/2021,9820
17/06/2021,8541
18/06/2021,7803
19/06/2021,7092
20/06/2021,7386
21/06/2021,8298
22/06/2021,8044
23/06/2021,7828
24/06/2021,7455
25/06/2021,7559
26/06/2021,7349
27/06/2021,6953
28/06/2021,7996
29/06/2021,8328
30/06/2021,7669
1/7/2021,6463
2/7/2021,6762
3/7/2021,7648
4/7/2021,6870
5/7/2021,7687
6/7/2021,8336
7/7/2021,7609
8/7/2021,7457
9/7/2021,7868
10/7/2021,8458
11/7/2021,6380
12/7/2021,7762
13/07/2021,8538
14/07/2021,7898
15/07/2021,7968
16/07/2021,7729
17/07/2021,7288
18/07/2021,7290
19/07/2021,8024
20/07/2021,8076
21/07/2021,7494
22/07/2021,7962
23/07/2021,8016
24/07/2021,7993
25/07/2021,6810
26/07/2021,8240
27/07/2021,8921
28/07/2021,8198
29/07/2021,8095
30/07/2021,7880
31/07/2021,7072
1/8/2021,6235
2/8/2021,7810
3/8/2021,8546
4/8/2021,7941
5/8/2021,7308
6/8/2021,7440
7/8/2021,7509
8/8/2021,6605
9/8/2021,9002
10/8/2021,9104
11/8/2021,9131
12/8/2021,9085
13/08/2021,7485
14/08/2021,7599
15/08/2021,7153
16/08/2021,8478
17/08/2021,8145
18/08/2021,7805
19/08/2021,8512
20/08/2021,7076
21/08/2021,7305
22/08/2021,6792
23/08/2021,8209
24/08/2021,8596
25/08/2021,8240
26/08/2021,8633
27/08/2021,7607
28/08/2021,7006
29/08/2021,6680
30/08/2021,8134
31/08/2021,8384
1/9/2021,8326
2/9/2021,8248
3/9/2021,7418
4/9/2021,7039
5/9/2021,6796
6/9/2021,8809
7/9/2021,9841
8/9/2021,9605
9/9/2021,8531
10/9/2021,7059
11/9/2021,8172
12/9/2021,8077
13/09/2021,10018
14/09/2021,9050
15/09/2021,9450
16/09/2021,8977
17/09/2021,8689
18/09/2021,7678
19/09/2021,6830
20/09/2021,9723
21/09/2021,9869
22/09/2021,9523
23/09/2021,10481
24/09/2021,9193
25/09/2021,8204
26/09/2021,7776
27/09/2021,9857
28/09/2021,9977
29/09/2021,10028
30/09/2021,9785
1/10/2021,8916
2/10/2021,8310
3/10/2021,7893
4/10/2021,10718
5/10/2021,10399
6/10/2021,9128
7/10/2021,9271
8/10/2021,8749
9/10/2021,8055
10/10/2021,7251
11/10/2021,8860
12/10/2021,8634
13/10/2021,7863
14/10/2021,7481
15/10/2021,6743
16/10/2021,9054
17/10/2021,7480
18/10/2021,8749
19/10/2021,9506
20/10/2021,9416
21/10/2021,9354
22/10/2021,9120
23/10/2021,7949
24/10/2021,7363
25/10/2021,9926
26/10/2021,10130
27/10/2021,9114
28/10/2021,8795
29/10/2021,9006
30/10/2021,7586
31/10/2021,6761
1/11/2021,8276
2/11/2021,8193
3/11/2021,7223
4/11/2021,5772
5/11/2021,6378
6/11/2021,6367
7/11/2021,7923
8/11/2021,8972
